,artista,medio,programa,produccion/director
408,gonzalo-trujillo,cine,RUBIO O MORENO , Jorge - Cortometraje Dir. David Huergo
409,gonzalo-trujillo,cine,ATM , Jota - Cortometraje Dir. David Huergo
410,gonzalo-trujillo,cine,LIMONADA , Cortometraje
411,gonzalo-trujillo,cine,UMBRAL , Dir. Jelena Dragas - Cortometraje premiado en el Festival Seminci 2019
412,gonzalo-trujillo,cine,EL MÉTODO PIGS , Dir. Boris Kosovo - Cortometraje premiado en el Festival Seminci 2019
413,gonzalo-trujillo,formacion,, Interpretación y dirección escénica con director Pedro Álvarez Osorio en escuela La Fundición.
414,gonzalo-trujillo,formacion,," Interpretación en Estudio-3, Madrid."
415,gonzalo-trujillo,formacion,," Cursos varios de interpretación, canto y movimiento en diferentes centros con Vicente Fuentes, Jose María Sepúlveda, José Masegosa, Esperanza Abad, Concha Doñaque, Carmelo Gómez, Álvaro Haro, Gabriel Olivares, Carlota Ferrer o Claudio Tolcachir."
416,gonzalo-trujillo,formacion, , 
417,gonzalo-trujillo,formacion,C,a
418,gonzalo-trujillo,formacion,I,d
419,gonzalo-trujillo,cortometrajes,“EL VIAJE AL PARAÍSO,  Dir. Juanan Martínez (Cortometraje).
420,gonzalo-trujillo,cortometrajes,“,E
421,gonzalo-trujillo,cortometrajes,“,A
422,gonzalo-trujillo,cortometrajes,“,C
423,gonzalo-trujillo,cortometrajes,“,L
424,gonzalo-trujillo,cortometrajes,“,U
425,javier-mula,television,T,Ú
426,javier-mula,television, , 
427,javier-mula,television, , 
428,javier-mula,television, , 
429,javier-mula,television, , 
430,javier-mula,television, , 
431,javier-mula,television, , 
432,javier-mula,television, , 
433,javier-mula,television, , 
434,javier-mula,television, , 
435,javier-mula,television, , 
436,javier-mula,television, , 
437,javier-mula,television,  VIS A VIS. Fox  (Temporada 3 , Ep.3 - Periodista). 2018
438,javier-mula,television, , 
439,javier-mula,television, , 
440,javier-mula,television, , 
441,javier-mula,teatro,"  EN ALTA MAR, de Tea",Tres.
442,javier-mula,teatro, , 
443,javier-mula,formacion,  , Taller intensivo con Cristina Alcázar.
444,javier-mula,formacion, , 
445,javier-mula,cortometrajes,“EL VIAJE AL PARAÍSO,  Dir. Juanan Martínez (Cortometraje).
446,javier-mula,cortometrajes,“,E
447,javier-mula,cortometrajes,“,A
448,javier-mula,cortometrajes,“,C
449,javier-mula,cortometrajes,“,L
450,javier-mula,cortometrajes,“,U
451,dani-paz,television,A,N
452,dani-paz,television,L,A
453,dani-paz,television,M,A
454,dani-paz,television,"""BI","DAS"" serie web"
455,dani-paz,cine,C,o
456,dani-paz,cine,C,o
457,dani-paz,cine,C,o
458,dani-paz,cine,C,o
459,dani-paz,cine,C,o
460,dani-paz,cine,C,o
461,dani-paz,teatro,"""",F
462,dani-paz,teatro,"""",L
463,dani-paz,teatro,"""",S
464,dani-paz,teatro,M,i
465,dani-paz,teatro,M,i
466,dani-paz,teatro,"""",Á
467,dani-paz,teatro,"""",L
468,dani-paz,teatro,"""",M
469,dani-paz,teatro,"""",D
470,dani-paz,teatro,“,P
471,dani-paz,teatro,D,o
472,dani-paz,teatro,B,a
473,dani-paz,teatro,7, 
474,dani-paz,teatro,T,r
475,dani-paz,teatro,2017 ," ""Rosario"""
476,dani-paz,teatro,2017 ," ""Me quedo muerta"""
477,dani-paz,teatro,2018 ," ""Dos Hombres dos"" "
478,dani-paz,formacion,B,i
479,dani-paz,formacion,R,e
480,dani-paz,cortometrajes,“EL VIAJE AL PARAÍSO,  Dir. Juanan Martínez (Cortometraje).
481,dani-paz,cortometrajes,“,E
482,dani-paz,cortometrajes,“,A
483,dani-paz,cortometrajes,“,C
484,dani-paz,cortometrajes,“,L
485,dani-paz,cortometrajes,“,U
486,dani-gallardo,television,“,P
487,dani-gallardo,television,"""",O
488,dani-gallardo,television,"""Documental sobre el 11","M"", “Mundo Ficción”, Miguel Courtois."
489,dani-gallardo,teatro,L,a
490,dani-gallardo,teatro,L,a
491,dani-gallardo,teatro,E,n
492,dani-gallardo,teatro, , 
493,dani-gallardo,teatro,A,c
494,dani-gallardo,teatro,A,c
495,dani-gallardo,formacion,L,i
496,dani-gallardo,formacion,"Entrenamiento actoral en la Abadía, 2018",2020.
497,dani-gallardo,formacion,C,u
498,dani-gallardo,cortometrajes,“EL VIAJE AL PARAÍSO,  Dir. Juanan Martínez (Cortometraje).
499,dani-gallardo,cortometrajes,“,E
500,dani-gallardo,cortometrajes,“,A
501,dani-gallardo,cortometrajes,“,C
502,dani-gallardo,cortometrajes,“,L
503,dani-gallardo,cortometrajes,“,U
504,carlos-de-austria,television,“MACHOS ALFA” , Netflix
505,carlos-de-austria,television,"""CUENTAME COMO PASO"" ", TVE1
506,carlos-de-austria,television,"""SERVIR Y PROTEGER"" ", TVE1
507,carlos-de-austria,television,"""ALBA"" ", Atresplayer
508,carlos-de-austria,television,"""ACACIAS 38"" ", Tve1
509,carlos-de-austria,television,"""ESTOY VIVO"" ", Tve1
510,carlos-de-austria,television,"""LA VALLA"" ", Antena3
511,carlos-de-austria,television,"""LA PESTE"" ", Movistar
512,carlos-de-austria,television,"""LAS CHICAS DEL CABLE"" ", Netflix
513,carlos-de-austria,television,"""EL SECRETO DE PUENTE VIEJO"" ", Antena3
514,carlos-de-austria,television,"""MEME"" ", Webserie
515,carlos-de-austria,television,"""AMORES QUE DUELEN"" ", Telecinco
516,carlos-de-austria,cine,"""EN EQUIPPO"" ", Dir. Manuel Ollero
517,carlos-de-austria,cine,"""CONCILIACION"" ", Dir. Ana Vázquez
518,carlos-de-austria,cine,"""7 SEGUNDOS"" ", Dir. Juanma Davifue
519,carlos-de-austria,cine,"""MADE IN CHINA"" ", Dir. Juanma Davifue
520,carlos-de-austria,cine,"""ZOMBI"" ", Dir. Francisco Sánchez  (Finalista Notodofilm Festival)
521,carlos-de-austria,cine,"""CORDURA"" ", Dir. Miguel Asturias 
522,carlos-de-austria,formacion, ,R
523,carlos-de-austria,formacion, ,B
524,carlos-de-austria,formacion, ,V
525,carlos-de-austria,formacion, ,C
526,carlos-de-austria,formacion, ,C
527,carlos-de-austria,formacion, ,M
528,carlos-de-austria,formacion, ,P
529,carlos-de-austria,formacion, , 
530,carlos-de-austria,formacion,," Instrumentos: guitarra, ukelele, bandurria, laúd y bajo"
531,carlos-de-austria,cortometrajes,“EL VIAJE AL PARAÍSO,  Dir. Juanan Martínez (Cortometraje).
532,carlos-de-austria,cortometrajes,“,E
533,carlos-de-austria,cortometrajes,“,A
534,carlos-de-austria,cortometrajes,“,C
535,carlos-de-austria,cortometrajes,“,L
536,carlos-de-austria,cortometrajes,“,U
537,pablo-vázquez,television,  “AMAR EN TIEMPOS REVUELTOS” , TVE1.
538,pablo-vázquez,television,  “BUENAGENTE”  , La Sexta.
539,pablo-vázquez,television,  “AIDA” , Telecinco.
540,pablo-vázquez,television,  “LOS SERRANO” , Telecinco.
541,pablo-vázquez,television,  “EL COMISARIO” , Telecinco.
542,pablo-vázquez,television,  “UN PASO ADELANTE” , Antena 3.
543,pablo-vázquez,cine,"""",A
544,pablo-vázquez,cine,"""",L
545,pablo-vázquez,cine,“,M
546,pablo-vázquez,cine,"""La Guarida"" Dir. Iago de Soto. Personaje Matías. Seleccionada en el festival de Sitges y Screamfest",Hollywood.
547,pablo-vázquez,cine,“,R
548,pablo-vázquez,cine,“,X
549,pablo-vázquez,teatro,"La Guarida"" Dir. Iago de Soto. Personaje Matías. Seleccionada en el festival de Sitges y Screamfest",Hollywood.
550,pablo-vázquez,formacion,H,a
551,pablo-vázquez,formacion,I,d
552,pablo-vázquez,formacion,P,r
553,pablo-vázquez,cortometrajes, , 
554,pablo-vázquez,cortometrajes, , 
555,pablo-vázquez,cortometrajes, , 
556,pablo-vázquez,cortometrajes, , 
557,alejandro-sigüenza,television,“Amar es para Siempre” , (Rubén Argento). Diagonal Tv. Antena 3. 
558,alejandro-sigüenza,television,“Los Pacientes del Dr.García” , Diagonal Tv.
559,alejandro-sigüenza,television,"""Acacias 38"" ", (Fidel). Boomerang. Tve1.
560,alejandro-sigüenza,television,"""Besos al aire"" ", Dir. Iñaki Mercero. Alea Media. Star Disney+. 
561,alejandro-sigüenza,television,"""La Otra Mirada"" ", (1ª temporada - David). Tve1
562,alejandro-sigüenza,television,"""El Secreto de Puente Viejo"" ", (Varias temporadas - Nicolás). 
563,alejandro-sigüenza,television,"""",G
564,alejandro-sigüenza,television,"""",R
565,alejandro-sigüenza,television,"""",A
566,alejandro-sigüenza,television,"""",A
567,alejandro-sigüenza,television,"""",A
568,alejandro-sigüenza,television,"""",E
569,alejandro-sigüenza,television,"""",H
570,alejandro-sigüenza,television,"""",D
571,alejandro-sigüenza,television,"""",C
572,alejandro-sigüenza,television,"""",A
573,alejandro-sigüenza,cine,"""",E
574,alejandro-sigüenza,teatro,"""",S
575,alejandro-sigüenza,teatro,"""",F
576,alejandro-sigüenza,teatro,"""",L
577,alejandro-sigüenza,teatro,"""",L
578,alejandro-sigüenza,teatro,"""",A
579,alejandro-sigüenza,teatro,"""",S
580,alejandro-sigüenza,teatro,"""",M
581,alejandro-sigüenza,teatro,"""",T
582,alejandro-sigüenza,teatro,"""Bang","Bang"" de M. Gervasonni. Dir. M. Gervasonni. "
583,alejandro-sigüenza,teatro,"""",L
584,alejandro-sigüenza,teatro,"""",F
585,alejandro-sigüenza,teatro,"""",4
586,alejandro-sigüenza,teatro,"""",A
587,alejandro-sigüenza,formacion,, Licenciado en Arte Dramático
588,alejandro-sigüenza,formacion,, N.I.C. (núcleo de investigación cinematográfica)
589,alejandro-sigüenza,formacion,, Técnica Chevoj con Carlos Aladro
590,alejandro-sigüenza,formacion,,  Palabra y Verso con Vicente Fuentes
591,alejandro-sigüenza,formacion,, Danza Histórica y Popular con Javier García
592,alejandro-sigüenza,formacion,, Percusión Antigua y Popular con Rodrigo Muñoz
593,alejandro-sigüenza,formacion,, El Movimiento y la Voz por Norman Taylor
594,alejandro-sigüenza,formacion,, Creación Teatral a partir de la improvisación por Santiago Sánchez
595,alejandro-sigüenza,formacion,, Mi Vida en el Clown por Antón
596,alejandro-sigüenza,cortometrajes, , 
597,alejandro-sigüenza,cortometrajes, , 
598,alejandro-sigüenza,cortometrajes, , 
599,alejandro-sigüenza,cortometrajes, , 
600,juanma-cifuentes,television,“Supernormal 2” , (personaje Andrés) - Secuoya estudios - Movistar+
601,juanma-cifuentes,television,"""",A
602,juanma-cifuentes,television,"""",H
603,juanma-cifuentes,television,"""",4
604,juanma-cifuentes,television,"""",L
605,juanma-cifuentes,television,"""Cuéntame Cómo pasó"" ", Tve.
606,juanma-cifuentes,television,"""Gym Tony""", Miguelón - Cuatro.
607,juanma-cifuentes,television,"""La que se avecina"" ", Rogelio - Tele5.
608,juanma-cifuentes,television,"""Stamos okupa2"" ", Alonso - Tve.
609,juanma-cifuentes,television,"""Amar en tiempos revueltos"" ", Miguel - Tve.
610,juanma-cifuentes,television,"""Las chicas de Oros"" ", Javi - Tve.
611,juanma-cifuentes,television,"""Supercharly"" ", Abraham - Tele5.
612,juanma-cifuentes,television,"""El síndrome de Ulises"" ", Juanjo - Antena 3.
613,juanma-cifuentes,television,"""Que follón de Familia"" ", Canal Nou. Andalucia. Castilla la Mancha. Murcia.
614,juanma-cifuentes,television,"""Yo también te Quiero"" ", Television Castilla la Mancha. 
615,juanma-cifuentes,television,"""",A
616,juanma-cifuentes,television,"""",A
617,juanma-cifuentes,television,"""",L
618,juanma-cifuentes,television,"""Protagonistas de la fama VIP"" ", Profesor de comedia - Telemundo EE.UU.
619,juanma-cifuentes,television,"""",A
620,juanma-cifuentes,cine,"""El club de los buenos infieles""", Juan - Lluis Segura
621,juanma-cifuentes,cine,"""Operasiones Espesiales"" ", Padre Antón - Paco Soto
622,juanma-cifuentes,cine,"""Aunque todo vaya mal"" ", Juan - Cristina Alcázar
623,juanma-cifuentes,cine,"""Don Enrique de Guzmán""", Arantxa Echevarría
624,juanma-cifuentes,cine,"""55m2"" ", Pablo Martín
625,juanma-cifuentes,cine,"""7 minutos"" ", Daniela Fejerman
626,juanma-cifuentes,cine,"""El Club de los Suicidas"" ", Javi - de Roberto Santiago.
627,juanma-cifuentes,cine,"""Menos es mas"" ", Profesor de Interpretación- Pascal Jongen.
628,juanma-cifuentes,cine,"""",Q
629,juanma-cifuentes,cine,"""",L
630,juanma-cifuentes,cine,"""",D
631,juanma-cifuentes,cine,"""",P
632,juanma-cifuentes,cine,"""",I
633,juanma-cifuentes,cine,"""",V
634,juanma-cifuentes,teatro,"""",L
635,juanma-cifuentes,teatro,"""",D
636,juanma-cifuentes,teatro,"""",S
637,juanma-cifuentes,teatro,"""",L
638,juanma-cifuentes,formacion,L,i
639,juanma-cifuentes,formacion,D,o
640,juanma-cifuentes,formacion,L,i
641,juanma-cifuentes,formacion,H,a
642,juanma-cifuentes,formacion,C,a
643,juanma-cifuentes,formacion,I,d
644,juanma-cifuentes,formacion,C,a
645,juanma-cifuentes,formacion,D,o
646,juanma-cifuentes,cortometrajes, , 
647,juanma-cifuentes,cortometrajes, , 
648,juanma-cifuentes,cortometrajes, , 
649,juanma-cifuentes,cortometrajes, , 
650,manu-hernández,television,S,e
651,manu-hernández,television,M,a
652,manu-hernández,television,D,e
653,manu-hernández,television,A,n
654,manu-hernández,television,S,u
655,manu-hernández,television,A,m
656,manu-hernández,television,V,e
657,manu-hernández,television,M,a
658,manu-hernández,television,H,o
659,manu-hernández,television,L,a
660,manu-hernández,television,E,l
661,manu-hernández,television,A,l
662,manu-hernández,television,E,l
663,manu-hernández,television,A,r
664,manu-hernández,television,B,a
665,manu-hernández,television,C,o
666,manu-hernández,television,V,i
667,manu-hernández,television,C,h
668,manu-hernández,television,Á,g
669,manu-hernández,television,A,i
670,manu-hernández,television,L,o
671,manu-hernández,television,A,m
672,manu-hernández,television,L,a
673,manu-hernández,television,A, 
674,manu-hernández,television,C,u
675,manu-hernández,television,V,i
676,manu-hernández,television,P,e
677,manu-hernández,television,C,a
678,manu-hernández,cine,ERES TÚ , Dir. Alauda Ruiz de Azua - Netflix
679,manu-hernández,cine,E,x
680,manu-hernández,cine,S,i
681,manu-hernández,cine,L,a
682,manu-hernández,cine,L,a
683,manu-hernández,teatro,E,l
684,manu-hernández,teatro,P,r
685,manu-hernández,teatro,S,e
686,manu-hernández,teatro,R,e
687,manu-hernández,teatro,L,a
688,manu-hernández,teatro,L,a
689,manu-hernández,teatro,T,o
690,manu-hernández,formacion,L,i
691,manu-hernández,formacion,C,u
692,manu-hernández,formacion, , 
693,manu-hernández,formacion,I,d
694,manu-hernández,formacion,V,o
695,manu-hernández,formacion,C,a
696,manu-hernández,formacion, , 
697,manu-hernández,cortometrajes, , 
698,manu-hernández,cortometrajes, , 
699,manu-hernández,cortometrajes, , 
700,manu-hernández,cortometrajes, , 
701,carlos-seguí,television, , 
702,carlos-seguí,television,A,m
703,carlos-seguí,television,S,e
704,carlos-seguí,television,E,l
705,carlos-seguí,television,S,a
706,carlos-seguí,television,L,a
707,carlos-seguí,television,C,e
708,carlos-seguí,television,C,u
709,carlos-seguí,television,L,o
710,carlos-seguí,television,A,m
711,carlos-seguí,television,E,l
712,carlos-seguí,cine,ERES TÚ , Dir. Alauda Ruiz de Azua - Netflix
713,carlos-seguí,cine,E,x
714,carlos-seguí,cine,S,i
715,carlos-seguí,cine,L,a
716,carlos-seguí,cine,L,a
717,carlos-seguí,teatro,U,s
718,carlos-seguí,teatro,D,o
719,carlos-seguí,teatro,E,l
720,carlos-seguí,teatro,E,l
721,carlos-seguí,teatro,L,a
722,carlos-seguí,teatro,M,a
723,carlos-seguí,teatro,M,a
724,carlos-seguí,teatro,C,o
725,carlos-seguí,teatro,S,a
726,carlos-seguí,teatro,7, 
727,carlos-seguí,teatro,N,o
728,carlos-seguí,formacion,L,i
729,carlos-seguí,formacion,H,e
730,carlos-seguí,formacion,I,n
731,carlos-seguí,formacion,C,u
732,carlos-seguí,formacion, , 
733,carlos-seguí,formacion,I,d
734,carlos-seguí,formacion,D,a
735,carlos-seguí,formacion,C,a
736,carlos-seguí,cortometrajes, , 
737,carlos-seguí,cortometrajes,M,a
738,carlos-seguí,cortometrajes,F,I
739,gerardo-quintana,television,A,m
740,gerardo-quintana,television,T,o
741,gerardo-quintana,television,C,a
742,gerardo-quintana,television,A,c
743,gerardo-quintana,television,L,a
744,gerardo-quintana,television,L,o
745,gerardo-quintana,television,E,l
746,gerardo-quintana,television,S,i
747,gerardo-quintana,television,L,a
748,gerardo-quintana,television,A,m
749,gerardo-quintana,television,H,o
750,gerardo-quintana,television,L,o
751,gerardo-quintana,cine,I,r
752,gerardo-quintana,cine,F,a
753,gerardo-quintana,cine,L,a
754,gerardo-quintana,teatro,E,n
755,gerardo-quintana,teatro,E,x
756,gerardo-quintana,teatro,E,l
757,gerardo-quintana,teatro,E,l
758,gerardo-quintana,teatro,J,e
759,gerardo-quintana,teatro,V,i
760,gerardo-quintana,teatro,L,a
761,gerardo-quintana,teatro,C,á
762,gerardo-quintana,teatro,L,a
763,gerardo-quintana,teatro,O,T
764,gerardo-quintana,teatro,C,a
765,gerardo-quintana,teatro,C,i
766,gerardo-quintana,teatro,T,í
767,gerardo-quintana,teatro,I,d
768,gerardo-quintana,formacion,L,i
769,gerardo-quintana,formacion,H,e
770,gerardo-quintana,formacion,I,n
771,gerardo-quintana,formacion,C,u
772,gerardo-quintana,formacion, , 
773,gerardo-quintana,formacion,I,d
774,gerardo-quintana,formacion,D,a
775,gerardo-quintana,formacion,C,a
776,gerardo-quintana,cortometrajes,D,e
777,gerardo-quintana,cortometrajes,C,a
778,gerardo-quintana,cortometrajes,S,e
779,fernando-moraleda,television,"""",M
780,fernando-moraleda,television,"""DESPARECIDOS"" Plano a Plano ", Amazon Prime Videos 2022
781,fernando-moraleda,television,“BENIDORM” , (Doctor Euskadi) -  Atresmedia.
782,fernando-moraleda,television,"""MADRES"" ", 2ª temporada. Alea Media.
783,fernando-moraleda,television,"""SECRETOS DE ESTADO"" ", T5.
784,fernando-moraleda,television,"""",H
785,fernando-moraleda,television,"""SERVIR Y PROTEGER"" ", 3ª temporada. Tve. 
786,fernando-moraleda,television,"""SECRETOS DE ESTADO"" ", Mediaset. T5.
787,fernando-moraleda,television,"""EL SECRETO DE PUENTE VIEJO"" ", Boomerang. Antena 3.
788,fernando-moraleda,television,"""CUERPO DE ELITE"" ", 1ª temporada. Antena 3. 
789,fernando-moraleda,television,"""CENTRO MÉDICO"" ", 8ª temporada. Zebra Producciones. Tve.
790,fernando-moraleda,television,"""AMAR ES PARA SIEMPRE"" ", 5ª temporada. Diagonal Tv. Antena 3.  
791,fernando-moraleda,television,"""CENTRO MÉDICO"" ", Zebra Producciones. Tve.
792,fernando-moraleda,television,"""LA QUE SE AVECINA"" ", T5.  
793,fernando-moraleda,television,"""EL SECRETO DE PUENTE VIEJO"" ", Antena 3. Boomerang Tv.  
794,fernando-moraleda,television,"""CUENTAME CÓMO PASÓ"" ", Tve1. Grupo Ganga Producciones 
795,fernando-moraleda,television,"""YO SOY BEA"" ", Grundy Producciones.
796,fernando-moraleda,television,"""QUEEN OF SWORDS"" ", Fireworks. Dir. Terry Ingram.
797,fernando-moraleda,television,"""HOSPITAL CENTRAL"" ", Videomedia. 
798,fernando-moraleda,television,"""POLICIAS"" ", Globomedia. 
799,fernando-moraleda,television,"""UN LUGAR EN EL MUNDO"" ", Ida y Vuelta Prod. 
800,fernando-moraleda,cine,"""CRIMEN PERFECTO"" ", de Alex de la Iglesia. Pánico Films.
801,fernando-moraleda,cine,"""GRIMM"" ", de Alex van Warmerdam. Graniet Film. Holanda.
802,fernando-moraleda,cine,"""LA VIDA MANCHA"" ", de Enrique Urbizu. Iberrotafilms-Tornasol.
803,fernando-moraleda,cine,"""BESOS DE GATO"" ", de Rafael Alcazar. Blue Legend.
804,fernando-moraleda,cine,"""COSAS DE BRUJAS"" ", de José Miguel Juárez. BuenaVista-Alma-Ata.
805,fernando-moraleda,cine,"""CANICULA"" ", de Álvaro García Capelo. Morena films.
806,fernando-moraleda,teatro,, Arte Dramático en el Estudio de Actores Gina Piccirilli.
807,fernando-moraleda,teatro,, El ojo que respira” Curso de interpretación cinematográfica dir. por Paco Pino.
808,fernando-moraleda,teatro,, El Actor ante la Cámara. Estudio LANDÉN dirigido por Pape Pérez
809,fernando-moraleda,cortometrajes,D,e
810,fernando-moraleda,cortometrajes,C,a
811,fernando-moraleda,cortometrajes,S,e
812,víctor-huerta,television,L,U
813,víctor-huerta,television,SERVIR Y PROTEGER , 2ª temporada. TVE1.
814,víctor-huerta,television,MATADERO , 1ª temporada. Diagonal TV / Antena 3. 
815,víctor-huerta,television,CENTRO MÉDICO , Tve1. Zebra Producciones. 
816,víctor-huerta,television,ACACIAS 38 , Tve1. Boomerang.
817,víctor-huerta,television,OLMOS Y ROBLES , Tve1.
818,víctor-huerta,television,EL CHIRINGUITO DE PEPE , Telecinco.
819,víctor-huerta,television,CON EL CULO AL AIRE ,  Antena 3.
820,víctor-huerta,television,DREAMLAND , Cuatro. 
821,víctor-huerta,television,ÁGUILA ROJA , Tve1.
822,víctor-huerta,television,ISABEL , Tve1.
823,víctor-huerta,television,GRAN HOTEL , Antena 3.
824,víctor-huerta,television,EL SECRETO DE PUENTE VIEJO , Antena 3.
825,víctor-huerta,television,BANDOLERA , Antena 3.
826,víctor-huerta,television,CUENTAME , Tve1.
827,víctor-huerta,cine,ERES TÚ , Dir. Alauda Ruiz de Azua - Netflix
828,víctor-huerta,cine,C,O
829,víctor-huerta,cine,IBIZA. , Dir. Arnaud Lemort.
830,víctor-huerta,cine,LA PUNTA DEL ICEBERG. , Dir. David Cánovas. 
831,víctor-huerta,cine,PERDIENDO EL NORTE , Dir. Nacho García Velilla. 
832,víctor-huerta,cine,O,D
833,víctor-huerta,teatro,EMBRUJO , Compañía Ana Dávila.
834,víctor-huerta,formacion,"""",M
835,víctor-huerta,cortometrajes,D,e
836,víctor-huerta,cortometrajes,C,a
837,víctor-huerta,cortometrajes,S,e
838,joaquín-gómez,television,"""",A
839,joaquín-gómez,television,"""FERIA, LA LUZ MÁS OSCURA"" ", NETFLIX.
840,joaquín-gómez,television,"""AMAR ES PARA SIEMPRE"" ", Antena 3. Diagonal TV. 
841,joaquín-gómez,television,"""LA CASA DE PAPEL"" ", Vancouver Media. 
842,joaquín-gómez,television,"""BRIGADA COSTA DEL SOL"" ", Warner. 
843,joaquín-gómez,television,"""VERGÜENZA"" ",  Movistar+. 
844,joaquín-gómez,television,"""DE LA LEY A LA LEY"" ", BCN. Visiona Tv. 
845,joaquín-gómez,television,"""LA PESTE"" ", Dir. Alberto Rodríguez. Movistar Plus. 
846,joaquín-gómez,television,"""LA CATEDRAL DEL MAR"" ", Antena 3. Diagonal TV. 
847,joaquín-gómez,television,"""CENTRO MÉDICO"" TVE1 ", Zebra Producciones.
848,joaquín-gómez,television,"""EL MINISTERIO DEL TIEMPO"" ", Tve1.   
849,joaquín-gómez,television,"""CON EL CULO AL AIRE"" ", Antena 3  
850,joaquín-gómez,television,“CUENTAME CÓMO PASÓ ” , Grupo Ganga producciones – Tve1.
851,joaquín-gómez,television,“,E
852,joaquín-gómez,television,“,G
853,joaquín-gómez,television,“,C
854,joaquín-gómez,television,“,F
855,joaquín-gómez,television,“,A
856,joaquín-gómez,television,“,A
857,joaquín-gómez,television,“,P
858,joaquín-gómez,television,“,A
859,joaquín-gómez,television,“,2
860,joaquín-gómez,television,“,L
861,joaquín-gómez,television,“,H
862,joaquín-gómez,television,“,L
863,joaquín-gómez,television,“,E
864,joaquín-gómez,television,“,S
865,joaquín-gómez,television,“,R
866,joaquín-gómez,television,“,H
867,joaquín-gómez,television,“,L
868,joaquín-gómez,television,“,M
869,joaquín-gómez,television,“,L
870,joaquín-gómez,teatro,“LA GAVIOTA” , Dir. Rubén Ochandiano.
871,joaquín-gómez,teatro,“TRES SOMBREROS” , Dir. Víctor Álvaro.
872,joaquín-gómez,teatro,“LA CELESTINA” , Dir. Joan Guaski.
873,joaquín-gómez,teatro,“Y YO EN EL TUYO...” , Dir. Joan Guaski.
874,joaquín-gómez,teatro,“EDMONG” , Dir. Toni Kitlinski.
875,joaquín-gómez,formacion,S,e
876,joaquín-gómez,formacion,I,n
877,joaquín-gómez,cortometrajes,D,e
878,joaquín-gómez,cortometrajes,C,a
879,joaquín-gómez,cortometrajes,S,e
880,francisco-escribano,television,"""",A
881,francisco-escribano,television,"""",A
882,francisco-escribano,television,C,r
883,francisco-escribano,television,P,r
884,francisco-escribano,television,T,a
885,francisco-escribano,television,E,l
886,francisco-escribano,television,L,a
887,francisco-escribano,television,U,n
888,francisco-escribano,television,M,a
889,francisco-escribano,cine,"""",L
890,francisco-escribano,cine,"""",M
891,francisco-escribano,cine,N,u
892,francisco-escribano,cine,A,r
893,francisco-escribano,cine,T,r
894,francisco-escribano,cine,M,i
895,francisco-escribano,cine,L,a
896,francisco-escribano,cine,M,a
897,francisco-escribano,cine,A,s
898,francisco-escribano,cine,C,a
899,francisco-escribano,cine,E,l
900,francisco-escribano,cine, , 
901,francisco-escribano,cine,R,a
902,francisco-escribano,cine,B,e
903,francisco-escribano,cine,2,8
904,francisco-escribano,cine,S,o
905,francisco-escribano,cine,L,a
906,francisco-escribano,cine,M,a
907,francisco-escribano,cine, , 
908,francisco-escribano,teatro,L,a
909,francisco-escribano,teatro,U,s
910,francisco-escribano,teatro,L,a
911,francisco-escribano,teatro,L,a
912,francisco-escribano,teatro,A,u
913,francisco-escribano,teatro,L,a
914,francisco-escribano,teatro,P,r
915,francisco-escribano,teatro,L,a
916,francisco-escribano,formacion,S,e
917,francisco-escribano,formacion,I,n
918,francisco-escribano,cortometrajes,D,e
919,francisco-escribano,cortometrajes,C,a
920,francisco-escribano,cortometrajes,S,e
921,paula-gallego,television,"""MACHOS ALFA"" ", Netflix
922,paula-gallego,television,"  ""VIS A VIS: EL OASIS"" ", Netflix
923,paula-gallego,television,"  ""45 REVOLUCIONES"" ", Antena3
924,paula-gallego,television,"  ""PAQUITA SALAS"" ", Netflix
925,paula-gallego,television,  “CUENTAME COMO PASO” , TVE1 
926,paula-gallego,television,  “MEJOR PRONTO QUE TARDE” , Campaña Proyecto Hombre y Fundación Atresmedia.
927,paula-gallego,cine,"""",L
928,paula-gallego,cine,"""",L
929,paula-gallego,teatro,L,a
930,paula-gallego,teatro,U,s
931,paula-gallego,teatro,L,a
932,paula-gallego,teatro,L,a
933,paula-gallego,teatro,A,u
934,paula-gallego,teatro,L,a
935,paula-gallego,teatro,P,r
936,paula-gallego,teatro,L,a
937,paula-gallego,formacion,*, 
938,paula-gallego,formacion,P,a
939,paula-gallego,cortometrajes,D,e
940,paula-gallego,cortometrajes,C,a
941,paula-gallego,cortometrajes,S,e
942,alejandra-lorenzo,television,ACACIAS 38 , TVE1 (Flora)
943,alejandra-lorenzo,television,EL CASO , (Asun)
944,alejandra-lorenzo,television,C,O
945,alejandra-lorenzo,television,A,M
946,alejandra-lorenzo,television,G,É
947,alejandra-lorenzo,television,P,E
948,alejandra-lorenzo,cine,PUDOR , Vero
949,alejandra-lorenzo,cine,N,O
950,alejandra-lorenzo,cine,FUERA DE CARTA , Alba
951,alejandra-lorenzo,cine,I,N
952,alejandra-lorenzo,cine,CARLITOS Y EL CAMPO DE LOS SUEÑOS , Flaca
953,alejandra-lorenzo,cine,TÚ ELIGES , Adela
954,alejandra-lorenzo,cine, , 
955,alejandra-lorenzo,cine,S,H
956,alejandra-lorenzo,cine,E,L
957,alejandra-lorenzo,cine,S,T
958,alejandra-lorenzo,teatro,L,a
959,alejandra-lorenzo,teatro,U,s
960,alejandra-lorenzo,teatro,L,a
