,actor,ciudad,nombres,representante
399,gonzalo-trujillo,no hay info,Pedro Álvarez,Única Representaciones
400,gonzalo-trujillo,no hay info,La Fundición,Única Representaciones
401,gonzalo-trujillo,Madrid,,Única Representaciones
402,gonzalo-trujillo,no hay info,Vicente Fuentes,Única Representaciones
403,gonzalo-trujillo,no hay info,Jose María,Única Representaciones
404,gonzalo-trujillo,no hay info,José Masegosa,Única Representaciones
405,gonzalo-trujillo,no hay info,Esperanza Abad,Única Representaciones
406,gonzalo-trujillo,no hay info,Concha Doñaque,Única Representaciones
407,gonzalo-trujillo,no hay info,Carmelo Gómez,Única Representaciones
408,gonzalo-trujillo,no hay info,Álvaro Haro,Única Representaciones
409,gonzalo-trujillo,no hay info,Gabriel Olivares,Única Representaciones
410,gonzalo-trujillo,no hay info,Carlota Ferrer,Única Representaciones
411,gonzalo-trujillo,no hay info,Claudio Tolcachir,Única Representaciones
412,gonzalo-trujillo,no hay info,,Única Representaciones
413,gonzalo-trujillo,no hay info,,Única Representaciones
414,gonzalo-trujillo,no hay info,,Única Representaciones
415,javier-mula,Murcia,Arte Dramático,Única Representaciones
416,javier-mula,Barcelona,Andrés Lima,Única Representaciones
417,javier-mula,Barcelona,Ramón Fonserre,Única Representaciones
418,javier-mula,Barcelona,El Joglars,Única Representaciones
419,javier-mula,Barcelona,Norman Taylor,Única Representaciones
420,javier-mula,Barcelona,Antón Valén,Única Representaciones
421,javier-mula,Barcelona,Carles Castillo,Única Representaciones
422,javier-mula,Barcelona,Enríque Martínez,Única Representaciones
423,javier-mula,Barcelona,Odín Teatret,Única Representaciones
424,javier-mula,Barcelona,Escuela Internacional,Única Representaciones
425,javier-mula,Barcelona,Mimo Dramático,Única Representaciones
426,javier-mula,no hay info,Actores Madrid,Única Representaciones
427,javier-mula,no hay info,José Manuel,Única Representaciones
428,javier-mula,no hay info,Benito Zambrano,Única Representaciones
429,javier-mula,no hay info,Manuela Burló,Única Representaciones
430,javier-mula,no hay info,Mar Olid,Única Representaciones
431,javier-mula,no hay info,Cristina Alcázar,Única Representaciones
432,javier-mula,no hay info,,Única Representaciones
433,dani-paz,no hay info,,Única Representaciones
434,dani-paz,Madrid,,Única Representaciones
435,dani-gallardo,Madrid,Escuela Superior,Única Representaciones
436,dani-gallardo,Madrid,Arte Dramático,Única Representaciones
437,dani-gallardo,no hay info,,Única Representaciones
438,dani-gallardo,no hay info,View Points,Única Representaciones
439,dani-gallardo,no hay info,City Company,Única Representaciones
440,dani-gallardo,no hay info,Anne Bogart,Única Representaciones
441,dani-gallardo,no hay info,David Planell,Única Representaciones
442,dani-gallardo,no hay info,Ángelo Crotti,Única Representaciones
443,dani-gallardo,no hay info,Teatro Asura,Única Representaciones
444,dani-gallardo,Layton,Laboratorio William,Única Representaciones
445,dani-gallardo,Layton,Paca Ojea,Única Representaciones
446,dani-gallardo,Layton,Pepe Vidal,Única Representaciones
447,dani-gallardo,no hay info,Dario Valtancoli,Única Representaciones
448,dani-gallardo,no hay info,Alejandro Tous,Única Representaciones
449,dani-gallardo,no hay info,Ana Puerto,Única Representaciones
450,dani-gallardo,no hay info,Carmen Rico,Única Representaciones
451,dani-gallardo,no hay info,,Única Representaciones
452,dani-gallardo,no hay info,,Única Representaciones
453,dani-gallardo,no hay info,San Sebastia,Única Representaciones
454,dani-gallardo,no hay info,,Única Representaciones
455,carlos-de-austria,no hay info,Roger Gual,Única Representaciones
456,carlos-de-austria,no hay info,Benito Zambrano,Única Representaciones
457,carlos-de-austria,no hay info,Vicente Fuentes,Única Representaciones
458,carlos-de-austria,no hay info,Carles Alfaro,Única Representaciones
459,carlos-de-austria,no hay info,Carmen Rico,Única Representaciones
460,carlos-de-austria,no hay info,Manuel Canseco,Única Representaciones
461,carlos-de-austria,no hay info,Paz Sayago,Única Representaciones
462,carlos-de-austria,no hay info,,Única Representaciones
463,carlos-de-austria,no hay info,,Única Representaciones
464,carlos-de-austria,no hay info,,Única Representaciones
